f,phi,sphi
1520,80.98559999999999,16.774170544023928
2400,63.93600000000001,9.400412756895307
3830,44.12160000000003,5.0045917635707315
6070,0.0,6.1806789529953745
9620,-45.02159999999999,10.954099616125463
24100,-65.93760000000002,26.087210659631666
38300,-67.56119999999996,27.71409841073673
60700,-74.29680000000003,21.961329304028933
