f,G,sG
610,0.13513513513513514,0.011358890825481366
960,0.18581081081081083,0.01425750244850333
1520,0.2684563758389262,0.01922661550296362
2400,0.42,0.028782710859897205
3830,0.7000000000000001,0.093571125650788
6070,0.94,0.1257316366092657
9620,0.6666666666666666,0.0894496202781277
24100,0.2866666666666667,0.038799261797737634
38300,0.19666666666666666,0.027056411120398974
60700,0.13,0.018571184369578827
