xHM,HM,dHM
-0.095,0.0023,0.00030000000000000003
-0.075,0.00373,0.00030000000000000003
-0.065,0.00454,0.00030000000000000003
-0.055,0.005260000000000001,0.00030000000000000003
-0.045,0.00589,0.00030000000000000003
-0.035,0.00625,0.00030000000000000003
-0.025,0.006340000000000001,0.00030000000000000003
-0.015,0.006209999999999999,0.00030000000000000003
-0.005,0.00615,0.00030000000000000003
0.005,0.00615,0.00030000000000000003
0.015,0.00625,0.00030000000000000003
0.025,0.006340000000000001,0.00030000000000000003
0.035,0.006170000000000001,0.00030000000000000003
0.045,0.005620000000000001,0.00030000000000000003
0.055,0.0049,0.00030000000000000003
0.065,0.00383,0.00030000000000000003
0.075,0.00319,0.00030000000000000003
