xHm,Hm,dHm
-0.085,0.00248,0.00030000000000000003
-0.075,0.0031000000000000003,0.00030000000000000003
-0.065,0.00383,0.00030000000000000003
-0.055,0.00475,0.00030000000000000003
-0.045,0.005710000000000001,0.00030000000000000003
-0.035,0.00643,0.00030000000000000003
-0.025,0.0069700000000000005,0.00030000000000000003
-0.015,0.00728,0.00030000000000000003
-0.005,0.007350000000000001,0.00030000000000000003
0.005,0.00733,0.00030000000000000003
0.015,0.007240000000000001,0.00030000000000000003
0.025,0.00688,0.00030000000000000003
0.035,0.006340000000000001,0.00030000000000000003
0.045,0.00544,0.00030000000000000003
0.055,0.00448,0.00030000000000000003
0.065,0.00355,0.00030000000000000003
0.075,0.0027500000000000003,0.00030000000000000003
