xB2,B2,dB2
0.102,0.00059,0.00030000000000000003
0.08199999999999999,0.00095,0.00030000000000000003
0.06199999999999999,0.0015800000000000002,0.00030000000000000003
0.05199999999999999,0.00199,0.00030000000000000003
0.041999999999999996,0.00264,0.00030000000000000003
0.031999999999999994,0.0033,0.00030000000000000003
0.021999999999999992,0.00393,0.00030000000000000003
0.011999999999999993,0.00454,0.00030000000000000003
0.001999999999999993,0.004860000000000001,0.00030000000000000003
-0.008000000000000007,0.00481,0.00030000000000000003
-0.01800000000000001,0.00436,0.00030000000000000003
-0.028000000000000008,0.00365,0.00030000000000000003
-0.038000000000000006,0.00293,0.00030000000000000003
-0.04800000000000001,0.00229,0.00030000000000000003
-0.05800000000000001,0.00185,0.00030000000000000003
-0.07800000000000001,0.00109,0.00030000000000000003
-0.098,0.0006800000000000002,0.00030000000000000003
