xB1,B1,dB1
-0.098,0.0006800000000000002,0.00030000000000000003
-0.07800000000000001,0.0011300000000000001,0.00030000000000000003
-0.068,0.00142,0.00030000000000000003
-0.05800000000000001,0.0018300000000000002,0.00030000000000000003
-0.04800000000000001,0.00235,0.00030000000000000003
-0.038000000000000006,0.0030200000000000005,0.00030000000000000003
-0.028000000000000008,0.0036600000000000005,0.00030000000000000003
-0.01800000000000001,0.00445,0.00030000000000000003
-0.008000000000000007,0.00488,0.00030000000000000003
0.001999999999999993,0.0049,0.00030000000000000003
0.011999999999999993,0.00454,0.00030000000000000003
0.021999999999999992,0.003920000000000001,0.00030000000000000003
0.031999999999999994,0.00329,0.00030000000000000003
0.041999999999999996,0.0026600000000000005,0.00030000000000000003
0.05199999999999999,0.00212,0.00030000000000000003
0.06199999999999999,0.0016600000000000002,0.00030000000000000003
0.08199999999999999,0.00103,0.00030000000000000003
0.102,0.0006300000000000001,0.00030000000000000003
